Blog	kids	k	want	machine	service	master	showed	project	tech	best	never	asked	much	life	things	harmony	had	easy	right	old	people	support	happy	love	working	only	such	years	didn	internet	million	open	city	future	san	turned	say	take	going	where	many	photos	technology	being	around	dark	world	power	her	am	tv	th	small	past	full	hours	via	company	learn	paper	its	always	found	really	number	show	obama	also	plan	music	set	see	last	let	read	person	using	couple	d	clinton	into	next	us	ago	having	code	try	video	great	makes	baby	process	high	move	doing	latest	could	put	start	system	face	should	hope	means	email	ve	site	off	less	web	five	become	does	books	problem	work	interview	order	then	another	away	com	air	night	security	marketing	post	months	way	test	update	gun	change	live	car	write	still	non	space	looking	shows	care	directly	online	america	between	actually	these	media	real	early	business	lot	trying	month	very	learned	family	help	since	ask	selling	kindle	pretty	during	x	won	both	look	while	used	game	step	e	go	facebook	products	started	links	him	times	need	written	tuesday	single	well	twitter	home	north	star	else	clothes	even	tips	ever	men	call	tell	amazing	president	before	better	went	side	mean	content	reader	isn	matter	don	m	stop	bad	said	against	appeared	three	website	study	left	human	yes	paid	super	down	drive	shot	finally	did	making	crazy	may	man	talk	nbsp	interesting	rock	thing	think	long	little	anyone	hillary	were	black	enough	reading	doesn	those	middle	different	pay	same	running	money	film	hey	important	starting	former	public	two	response	through	house	hard	idea	part	build	most	find	common	point	simple	bill	fun	itself	yesterday	spend	source	big	google	often	back	others	six	ll	day	text	thought	add	smart	buy	bug	every	street	would	phone	must	me	keep	end	writing	each	got	free	days	already	top	too	took	though	watch	news	search	several	donald	everything	hear	cool	iphone	today	local	trump	information	name	she	oasis	place	white	r	any	ideas	sure	state	college	ways	come	case	good	week	driver	without	model	blog	legal	oh	follow	program	woman	far	design	version	basically	known	short	might	feel	story	kind	check	wrote	art	recently	c	know	questions	fast	called	users	once	apple	app	use	few	women	something	looks	our	york	which	why	looked	view	amazon	april	verizon	gets	half	other	community	getting	own	made	book
Gothamist	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	0	0	0	0	0	1	0	1	0	0	2	1	2	1	0	0	1	1	0	2	0	0	0	1	2	0	1	0	2	0	1	2	1	0	1	2	0	0	0	0	2	0	0	0	0	0	0	2	1	0	1	1	3	1	0	0	1	0	0	2	1	1	2	0	2	0	0	2	0	0	0	2	0	0	0	0	1	0	1	2	0	2	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	4	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	3	0	1	3	1	1	0	1	1	0	3	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	1	0	0	2	0	0	2	2	0	5	1	0	3	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	5	0	0	0	0	0	0	1	2	0	4	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	4	5	1	1	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	2	1	0	2	3	0	0	0	0	0	0	0	2	4	0	2	0	0	1	0	0	2	0	3	0	3	0	0	4	1	3	0	1	0	0	0	0	0	7	0	1	1	0	1	0	1	1	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	3	0	2	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	3	2	0	0	0	0	1	3	1	1	1	0	0	0	3	0
The Huffington Post | The Full Feed	10	0	13	0	4	0	3	0	0	11	7	2	21	49	9	0	16	4	16	10	40	6	3	10	1	8	7	12	11	1	2	4	3	3	0	1	11	8	9	14	23	1	3	11	8	2	15	2	14	1	5	2	8	5	7	3	5	5	6	4	30	4	2	11	8	8	8	20	1	3	3	15	7	8	10	5	3	1	3	0	24	8	29	3	6	0	7	7	7	4	3	3	8	2	2	1	8	6	4	3	3	10	6	4	1	10	6	11	15	0	2	8	4	8	4	10	1	6	9	6	7	7	2	3	0	1	28	1	24	5	1	2	3	14	0	4	9	2	0	7	2	3	2	2	3	8	3	22	22	4	3	3	10	2	1	15	2	8	10	3	7	2	0	2	1	1	4	7	19	18	28	7	4	0	5	3	0	1	1	8	2	10	2	1	6	10	3	8	1	4	8	3	11	0	4	3	7	5	0	6	8	7	1	7	1	7	3	7	4	18	22	6	2	10	2	1	2	25	4	2	2	4	2	4	12	2	2	1	7	5	2	62	5	5	0	1	3	4	13	5	4	2	0	12	2	10	4	4	12	3	12	4	8	3	3	21	0	10	1	0	6	5	0	9	0	7	3	12	1	18	11	3	5	2	0	3	2	0	2	7	3	0	9	9	15	3	6	8	0	2	9	2	2	0	7	3	24	3	3	25	4	3	3	12	3	0	2	4	6	13	2	6	5	13	0	3	2	5	6	2	1	8	3	4	0	2	20	0	13	4	2	15	2	14	9	6	7	15	2	18	1	1	9	1	0	2	2	2	0	2	5	0	6	2	1	2	2	8	4	2	2	2	1	2	0	9	3	4	3	0	6	0	2	30	6	33	11	8	53	3	18	17	2	2	0	4	0	4	2	13	7	2	12	7	4
Joho the Blog	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	3	3	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	1	0	2	3	1	0	1	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	3	0	0	0	0	1	3	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	7	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0
ongoing by Tim Bray	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	2	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	2	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	3	1	0	0	0	0	6	2	0	3	2	1	0	0	2	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	5	1	2	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	3	1	0	0	1	0	1	0	0	0	0	4	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	5	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Neil Gaiman's Journal	9	3	18	0	2	1	7	5	0	9	17	4	30	15	51	0	70	3	16	13	69	9	13	16	3	30	10	19	13	5	0	2	1	0	2	3	13	10	35	21	13	8	0	17	18	3	26	3	37	18	4	19	8	2	8	7	1	0	5	4	14	8	10	28	1	9	0	25	2	5	7	20	30	10	27	1	6	5	30	0	25	17	52	17	11	1	4	5	12	6	28	2	5	1	15	0	28	20	4	1	9	16	8	3	6	24	4	11	2	0	2	6	3	41	7	17	14	6	23	10	14	33	1	15	0	0	10	11	11	0	1	0	7	4	1	13	17	4	2	7	7	2	3	7	1	15	15	12	4	9	2	4	6	12	7	26	5	14	13	8	9	2	0	5	3	2	10	9	12	15	4	1	2	5	23	5	0	4	3	30	3	14	8	3	2	12	5	5	0	4	2	5	18	0	12	1	6	5	5	0	21	6	21	5	4	2	0	6	4	10	48	1	6	23	2	0	17	2	0	8	6	1	6	0	5	1	0	2	18	9	0	10	4	11	295	3	4	19	18	20	9	8	0	61	10	11	5	8	4	2	8	10	7	4	17	7	0	4	2	1	9	22	2	10	3	6	16	15	1	13	11	3	1	2	0	3	3	3	2	0	5	2	2	30	2	2	22	21	4	9	1	2	6	0	8	0	42	11	2	92	2	14	18	8	17	9	20	10	6	21	5	4	6	8	0	1	0	14	1	3	0	2	7	0	3	6	50	0	11	5	2	8	4	4	0	2	6	14	6	32	19	0	10	1	11	4	3	1	3	5	2	1	7	0	4	10	7	6	26	7	1	18	71	2	1	15	7	3	18	0	6	0	2	11	16	2	19	3	29	5	39	16	4	2	9	0	0	3	4	21	1	8	6	19	52
Joel on Software	0	0	25	4	0	0	2	6	0	5	10	2	8	1	22	2	12	4	6	4	45	1	3	4	5	7	2	7	9	5	6	10	6	3	1	0	3	7	11	11	7	0	1	6	11	1	10	1	0	2	0	2	4	0	4	4	0	10	2	0	2	4	6	15	7	1	0	4	2	1	4	8	2	11	5	1	15	1	3	0	17	6	15	0	1	20	3	0	26	10	2	12	1	4	4	0	16	2	8	15	1	8	1	2	2	7	6	6	2	4	3	0	2	0	2	22	0	1	9	0	1	0	0	0	2	1	4	9	15	0	1	0	2	1	3	2	8	5	1	0	1	2	1	3	1	4	12	10	0	2	3	8	16	8	3	9	0	2	9	8	18	2	1	4	1	1	1	10	7	9	6	1	5	0	13	0	2	4	0	1	1	15	2	0	5	6	2	1	0	0	4	0	21	0	2	0	4	3	2	0	5	12	2	3	2	1	0	1	3	22	7	4	5	3	0	0	9	0	0	1	2	2	2	3	8	10	1	0	5	6	12	7	0	1	22	2	1	8	11	6	10	3	0	13	0	3	2	9	14	2	9	11	4	3	21	0	3	1	5	0	4	12	0	3	0	5	8	2	8	13	11	2	7	2	0	0	3	0	2	8	14	3	5	5	2	3	10	10	0	7	7	3	4	10	24	1	12	1	1	12	7	2	6	5	10	11	6	9	2	9	2	6	1	3	6	2	0	12	3	1	6	9	0	0	0	0	0	0	4	0	1	19	9	7	0	1	2	5	3	6	1	0	5	2	5	3	2	1	2	0	0	2	10	4	2	3	17	4	2	10	2	1	16	1	0	12	6	3	8	13	2	1	3	11	9	0	9	1	32	1	32	9	3	3	1	1	0	1	1	15	2	9	8	4	0
Steve Pavlina	0	0	3	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	29	0	0	0	0	1	2	4	0	0	2	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	1	0	0	0	0	1	0	1	5	0	0	0	0	0	0	1	3	0	1	0	1	0	2	0	1	2	1	1	0	0	0	2	0	1	0	0	1	1	0	2	1	0	0	0	1	2	2	2	1	3	0	0	1	0	1	2	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	2	1	0	2	0	0	0	0	20	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	2	1	0	0	1	3	0	0	0	1	2	1	2	1	0	0	2	1	0	0	0	0	0	2	0	0	0	0	1	2	0	0	2	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	3	1	1	0	0	0	2	3	0	0	1	0	20	1	3	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	5	0	0	0	0	2	0	1	0	0	1	0	0	1	0	1	0	4	0	0	1	5	0	0	1	0	0	0	2	0	0	0	0	3	3	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	1	2	0	1	0	23	0	0	0	0	1	0	0	3	1	2	0	1	0	14	1	0	0	1	0	1	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	2	0	2	1	0	2	0	1	0	0	0	1	0	1	4	0	0	0	1	0	0	4	0	0	0	0	2	0	3	1	0	1	0	0	0	0	1	1	0	0	1	1	0	1	4	0	0	0	0	0	0	0	0	0	0	1	1	2
Search Engine Watch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Kotaku	0	2	1	0	0	0	0	0	0	4	3	1	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	2	1	0	0	0	0	1	1	0	0	0	2	4	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	2	24	1	0	0	3	0	1	0	3	0	0	0	0	2	2	1	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	2	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	12	0	3	2	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	2	3	5	2	0	0	0	1	0	1	0	0	0	0	0	2	0	0	2	1	2	0	0	1	0	2	0	0	1	0	0	1	2	1	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	2	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	3	0	0	0	0	0	1	4	1	1	0	1	0	0	0	2	1	0	0	0	4	0	2	0	0	0	0	2	2	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	3	1	0	0	0	0	3	0	0	4	0	0	0	0	0	0	1	0	1	0	2	0	6	0	0	0	0	0	0	1	0	0	0	2	2	1	2	3	0
Derek Powazek	1	0	1	0	0	0	0	0	1	1	3	0	1	5	1	0	3	2	4	2	2	0	4	1	0	1	0	5	1	1	0	1	0	0	2	2	3	1	4	0	1	2	0	0	1	0	3	0	9	3	0	0	2	0	1	0	0	1	0	1	1	4	1	2	1	3	0	2	0	0	0	3	7	1	0	0	1	4	2	0	4	1	4	2	0	0	1	0	5	0	2	1	1	0	1	0	1	1	0	0	1	1	2	0	0	11	2	1	1	1	0	0	0	0	0	3	0	0	7	3	1	1	0	2	0	1	3	2	0	0	1	2	1	2	1	3	4	0	0	1	0	0	1	2	0	4	0	2	2	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	2	0	1	1	0	0	0	4	0	0	2	0	2	1	1	0	0	1	2	1	0	0	0	1	0	1	0	1	0	1	0	2	0	1	0	3	0	0	1	0	0	0	4	12	0	3	3	1	0	4	0	0	1	0	1	1	0	2	0	1	0	4	0	0	0	1	3	0	0	0	4	4	1	7	0	0	2	1	5	4	0	1	0	0	0	3	0	3	0	3	0	0	0	0	9	0	1	0	3	0	2	0	2	1	0	0	1	0	0	2	0	0	0	1	0	2	2	0	2	4	2	0	1	0	0	1	1	3	1	0	0	1	15	0	0	2	1	1	0	4	1	2	2	3	0	1	1	0	0	0	2	0	2	0	2	0	0	0	0	7	0	0	1	0	0	0	1	0	0	1	3	0	1	3	0	0	0	1	0	1	1	0	2	0	1	0	2	0	1	1	5	3	1	0	1	0	0	0	6	1	1	0	0	2	0	0	0	5	0	8	0	3	0	2	1	1	0	0	0	0	2	0	3	3	2	2	2	6
Captain's Quarters	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	1	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	3	0	2	0	1	0	0	1	1	1	0	0	1	0	0	0	1	3	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	1	0	0	2	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
ThinkProgressPage Array – ThinkProgress	0	0	2	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	2	2	1	0	1	0	0	2	1	1	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	3	0	0	2	0	0	0	0	0	20	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	2	0	2	0	2	0	20	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	5	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
blog maverick	0	0	1	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	4	0	0	0	0	1	0	1	0	1	0	0	0	0	2	1	0	4	0	1	1	0	0	0	2	1	1	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	4	3	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	2	0	0	1	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	3	0	1	1	0	1	0	3	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0
Topix Blog	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	3	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	4	0	2	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	2	0	2	1	1	1	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2	1	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	5	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	2	1	0	6	0	0	1	0	0	0	0	0	0	0	1	3	0	1	0	0
Autoblog	1	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	3	1	0	0	0	0	0	1	5	0	4	0	1	0	3	0	6	0	0	1	1	1	2	1	5	5	1	2	0	2	0	0	0	2	0	0	0	0	0	0	4	0	0	7	0	1	0	0	2	0	0	0	0	0	44	1	0	0	0	1	0	3	3	10	0	4	0	0	3	0	5	0	0	0	0	0	0	0	6	11	0	0	1	3	1	0	0	40	1	0	6	0	0	0	1	0	3	0	0	0	3	0	1	0	0	1	0	0	4	0	0	0	7	6	0	0	0	5	0	0	0	0	3	4	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	1	0	0	0	0	0	40	1	0	0	0	0	0	1	0	2	3	0	3	2	0	2	1	0	0	160	0	0	0	0	1	1	0	2	0	0	0	40	0	1	2	1	1	1	4	1	0	0	0	0	0	1	3	1	1	0	1	3	1	6	1	1	0	0	0	1	0	1	0	0	2	9	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	7	1	0	0	0	0	0	1	1	4	0	0	4	1	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	6	2	2	0	31	0	6	0	2	0	0	0	4	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	6	1	0	1	0	0	40	5	0	0	4	42	4	1	1	0	0	0	0	0	4	0	1	0	1	4	1	0
Gawker	0	2	0	0	0	0	0	0	0	2	0	0	3	1	1	2	3	0	0	0	3	1	0	2	2	4	2	0	0	2	0	0	4	0	1	0	1	0	1	2	0	0	0	0	1	0	0	1	3	0	2	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	26	0	0	0	1	2	3	1	5	0	2	0	1	0	0	2	0	0	0	0	0	0	3	0	0	1	1	1	0	0	2	0	2	2	1	0	0	0	1	0	0	1	2	1	0	0	0	3	0	0	0	0	1	2	0	0	1	2	0	1	0	0	1	0	0	1	0	0	2	0	3	0	1	2	0	1	1	1	1	0	0	0	0	0	0	1	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	2	0	1	0	0	2	0	0	2	0	4	0	2	2	0	0	2	0	1	0	0	0	0	0	0	0	7	2	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	3	2	0	0	3	5	2	0	0	0	0	0	0	0	1	2	2	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	1	0	0	2	0	0	1	0	2	2	2	2	0	2	0	0	4	0	1	0	0	1	1	0	0	1	1	2	2	3	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	1	1	0	1	0	0	3	1	0	0	2	0	0	1	0	2	0	2	1	0	3	5	1	0	0	0	0	1	2	1	3	2	0	1	0	1	0
